k,t,valid
0,0.0,1
1,0.10126582278481013,1
2,0.20253164556962025,1
3,0.3037974683544304,1
4,0.4050632911392405,1
5,0.5063291139240507,1
6,0.6075949367088608,1
7,0.7088607594936709,1
8,0.810126582278481,1
9,0.9113924050632911,1
10,1.0126582278481013,1
11,1.1139240506329113,1
12,1.2151898734177216,1
13,1.3164556962025316,1
14,1.4177215189873418,1
15,1.5189873417721518,1
16,1.620253164556962,1
17,1.7215189873417722,1
18,1.8227848101265822,1
19,1.9240506329113924,1
20,2.0253164556962027,1
21,2.1265822784810124,1
22,2.2278481012658227,1
23,2.329113924050633,1
24,2.430379746835443,1
25,2.5316455696202533,1
26,2.632911392405063,1
27,2.7341772151898733,1
28,2.8354430379746836,1
29,2.9367088607594938,1
30,3.0379746835443036,1
31,3.1392405063291138,1
32,3.240506329113924,1
33,3.3417721518987342,1
34,3.4430379746835444,1
35,3.5443037974683542,1
36,3.6455696202531644,1
37,3.7468354430379747,1
38,3.848101265822785,1
39,3.9493670886075947,1
40,4.050632911392405,1
41,4.151898734177215,1
42,4.253164556962025,1
43,4.3544303797468356,1
44,4.455696202531645,1
45,4.556962025316456,1
46,4.658227848101266,1
47,4.7594936708860756,1
48,4.860759493670886,1
49,4.962025316455696,1
50,5.063291139240507,1
51,5.1645569620253164,1
52,5.265822784810126,1
53,5.367088607594937,1
54,5.468354430379747,1
55,5.5696202531645564,1
56,5.670886075949367,1
57,5.772151898734177,1
58,5.8734177215189876,1
59,5.974683544303797,1
60,6.075949367088607,1
61,6.177215189873418,1
62,6.2784810126582276,1
63,6.379746835443038,1
64,6.481012658227848,1
65,6.582278481012658,1
66,6.6835443037974684,1
67,6.784810126582278,1
68,6.886075949367089,1
69,6.987341772151899,1
70,7.0886075949367084,1
71,7.189873417721519,1
72,7.291139240506329,1
73,7.3924050632911396,1
74,7.493670886075949,1
75,7.594936708860759,1
76,7.69620253164557,1
77,7.7974683544303796,1
78,7.898734177215189,1
79,8.0,1
