x,y,z
4.000000000000000222e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.050000000000000266e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.100000000000000311e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.150000000000000355e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.200000000000000400e-01,-5.000000000000000971e-02,4.000000000000000777e-01
4.250000000000000444e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.299999999999999933e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.349999999999999423e-01,-4.999999999999999584e-02,3.999999999999999667e-01
4.400000000000000022e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.450000000000000622e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.500000000000000111e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.550000000000000155e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.600000000000000200e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.649999999999999689e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.700000000000000289e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.749999999999999778e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.799999999999999822e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.849999999999999867e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.899999999999999911e-01,-5.000000000000000278e-02,4.000000000000000222e-01
4.949999999999999956e-01,-5.000000000000000278e-02,4.000000000000000222e-01
5.000000000000000000e-01,-5.000000000000000278e-02,4.000000000000000222e-01
5.000000000000000000e-01,-4.499999999999999833e-02,4.000000000000000222e-01
5.000000000000000000e-01,-4.000000000000000777e-02,4.000000000000000222e-01
5.000000000000000000e-01,-3.500000000000000333e-02,4.000000000000000222e-01
5.000000000000000000e-01,-3.000000000000000583e-02,4.000000000000000777e-01
5.000000000000000000e-01,-2.500000000000000486e-02,4.000000000000000222e-01
5.000000000000000000e-01,-1.999999999999999348e-02,4.000000000000000222e-01
5.000000000000000000e-01,-1.499999999999999251e-02,3.999999999999999667e-01
5.000000000000000000e-01,-9.999999999999995004e-03,4.000000000000000222e-01
5.000000000000000000e-01,-5.000000000000000971e-03,4.000000000000000222e-01
5.000000000000000000e-01,0.000000000000000000e+00,4.000000000000000222e-01
5.000000000000000000e-01,5.000000000000004441e-03,4.000000000000000222e-01
5.000000000000000000e-01,1.000000000000000888e-02,4.000000000000000222e-01
5.000000000000000000e-01,1.500000000000000291e-02,4.000000000000000222e-01
5.000000000000000000e-01,2.000000000000000389e-02,4.000000000000000222e-01
5.000000000000000000e-01,2.500000000000000486e-02,4.000000000000000222e-01
5.000000000000000000e-01,3.000000000000000930e-02,4.000000000000000222e-01
5.000000000000000000e-01,3.500000000000001721e-02,4.000000000000000222e-01
5.000000000000000000e-01,4.000000000000000777e-02,4.000000000000000222e-01
5.000000000000000000e-01,4.500000000000001221e-02,4.000000000000000222e-01
5.000000000000000000e-01,5.000000000000000278e-02,4.000000000000000222e-01
4.949999999999999956e-01,5.000000000000000278e-02,4.000000000000000222e-01
4.899999999999999911e-01,5.000000000000000278e-02,4.000000000000000222e-01
4.849999999999999867e-01,5.000000000000000278e-02,4.000000000000000222e-01
4.800000000000000377e-01,5.000000000000000971e-02,4.000000000000000777e-01
4.749999999999999778e-01,5.000000000000000278e-02,4.000000000000000222e-01
